Pro_Code1,Pro_Code,Dis_Code1,Dis_Code,Vill_Code1,Vill_Code,Village_Code,Vill_Name,Village_Status,HH_Total,People_Total,Women_Total,Etnhics_Majority,Project,Road_Access,Name_HC,Facility_code,Km_HC,Name_DH,Km_DH,Name_PH,Km_PH,Avg_HH_Size,Poor_HH,Expost_Code,Village_Town,HEF_Members1,SHEF_Members,DH_catg,Mem_Year
15,15,3,1503,18,018,1503018,    ®û¾­ ©¾¡»¾¨,,24,147,67,2,3,,DD,27c,,,24,SK-PH,, 6.1 ,,221,, 147 ,100%,D. 21-50,2014
15,15,3,1503,20,020,1503020,    ®û¾­ ©¾¡µº¨Œ©¾¡µó¤,,30,162,74,2,3,,DD,27c,,,25,SK-PH,, 5.4 ,,222,, 162 ,100%,D. 21-50,2014
15,15,3,1503,21,021,1503021,    ®û¾­ ¦¼¤¹ì¸¤,,65,458,232,2,3,,XL-HC,27a,0,,39,SK-PH,, 7.0 ,,223,, 458 ,100%,D. 21-50,2014
15,15,3,1503,22,022,1503022,    ®û¾­ ©¾¡ª½ºº¡­Éº¨,,30,194,99,2,3,,XL,27a,,,11,SK-PH,, 6.5 ,,224,, 194 ,100%,C. 11-20,2014
15,15,3,1503,23,023,1503023,    ®û¾­ ©¾¡Â©´,,29,258,133,2,3,,XL,27a,,,16,SK-PH,, 8.9 ,,225,, 258 ,100%,C. 11-20,2014
15,15,3,1503,25,025,1503025,    ®û¾­ ©¾¡»÷,,,,82,2,3,,DH,27,,,18,SK-PH,,#DIV/0!,,226,,0,#DIV/0!,C. 11-20,2014
15,15,3,1503,26,026,1503026,    ®û¾­ ©¾¡´¸­,,50,340,152,2,3,,DM-HC,27b,0,,7,SK-PH,, 6.8 ,,227,, 340 ,100%,B. 4-10,2014
15,15,3,1503,27,027,1503027,    ®û¾­ ©¾¡´ñ­,,27,168,77,2,3,,XL,27a,,,18,SK-PH,, 6.2 ,,228,, 168 ,100%,C. 11-20,2014
15,15,3,1503,28,028,1503028,    ®û¾­ ©¾¡ª½ºº¡Ã¹È¨,,35,251,114,2,3,,XL,27a,,,16,SK-PH,, 7.2 ,,229,, 251 ,100%,C. 11-20,2014
15,15,3,1503,33,033,1503033,    ®û¾­ ©¾¡µëñ¤­Éº¨,,30,183,83,2,3,,DH,27,,,28,SK-PH,, 6.1 ,,230,, 183 ,100%,D. 21-50,2014
15,15,3,1503,34,034,1503034,    ®û¾­ ©¾¡¯¾­,,39,267,206,2,3,,DH,27,,,101,SK-PH,, 6.8 ,,231,, 267 ,100%,F. 100+,2014
15,15,3,1503,35,035,1503035,   ®û¾­ ªñ¤Àµó¤,,191,869,224,2,3,,DH,27,,,68,SK-PH,, 4.5 ,,232,, 869 ,100%,E. 51-100,2014
15,15,3,1503,36,036,1503036,   ®û¾­ ªñ¤Â®ë¤,,280,1818,478,2,3,,DH,27,,,73,SK-PH,, 6.5 ,,233,,1818,100%,E. 51-100,2014
15,15,3,1503,38,038,1503038,   ®û¾­ ©¾¡ìôŒªñ¤ìø,,49,280,131,2,3,,DH,27,,,32,SK-PH,, 5.7 ,,234,, 280 ,100%,D. 21-50,2014
15,15,3,1503,40,040,1503040,   ®û¾­ ¯ë¾¸,,24,143,71,2,3,,DH,27,,,35,SK-PH,, 6.0 ,,235,, 143 ,100%,D. 21-50,2014
15,15,3,1503,41,041,1503041,   ®û¾­ Ä¡ÈÂì,,38,341,168,2,3,,DH,27,,,72,SK-PH,, 9.0 ,,236,, 341 ,100%,E. 51-100,2014
15,15,3,1503,44,044,1503044,   ®û¾­ ©¾¡¯º¤,,40,208,90,2,3,,DH,27,,,69,SK-PH,, 5.2 ,,237,, 208 ,100%,E. 51-100,2014
15,15,3,1503,45,045,1503045,   ®û¾­ ©¾¡¥¾¤,,58,236,103,2,3,,DH,27,,SK-PH,73,SK-PH,, 4.1 ,,238,, 236 ,100%,E. 51-100,2014
